City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,Porto Walter,BR,73.58,-8.2686,-72.7439,Secretaria de saúde
5,Saldanha,ZA,68.0,-33.0117,17.9442,Blue Bay Lodge
6,Cape Town,ZA,73.11,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Castro,BR,64.45,-24.7911,-50.0119,CHACARA BAILLY
15,Hermanus,ZA,69.84,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Hobart,AU,72.05,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
29,Kaitangata,NZ,63.79,-46.2817,169.8464,Kaitangata Motor Camp
31,Ejido Hermosillo,MX,70.23,32.5121,-114.9238,RANCHO EL MALO (CNL)
35,Hasaki,JP,66.29,35.7333,140.8333,Inubosaki Kanko Hotel
37,Katsuura,JP,60.17,35.1333,140.3,Katsuura Hotel Mikazuki
40,Traralgon,AU,73.0,-38.1833,146.5333,Comfort Inn Traralgon
41,Urucara,BR,73.98,-2.5364,-57.76,Pousada Maria Bonita
42,Santa Maria,BR,65.5,-29.6842,-53.8069,Hotel Morotin
44,Puerto Madryn,AR,65.23,-42.7692,-65.0385,Hotel Tolosa
46,Wabag,PG,65.14,-5.4781,143.7021,Shalom Inn
53,Huarmey,PE,73.42,-10.0681,-78.1522,Hotel Miramar
59,Saint-Philippe,RE,74.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Paso Del Macho,MX,74.7,18.9667,-96.7167,Hotel Hidalgo
69,Codrington,AU,68.86,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
71,Namibe,AO,72.61,-15.1961,12.1522,Hotel Chik Chik Namibe
72,San Jose,US,70.88,37.3394,-121.895,The Westin San Jose
73,Santa Isabel Do Rio Negro,BR,74.34,-0.4139,-65.0192,Hotel GSA
81,Viedma,AR,60.19,-40.8135,-62.9967,Hotel Cristal
88,Ibra,OM,70.03,22.6906,58.5334,مزرعة راحة النفوس المنزفة
95,Cidreira,BR,69.66,-30.1811,-50.2056,Hotel Castelo
98,Neuquen,AR,69.69,-38.9516,-68.0591,Hotel del Comahue
105,Ngong,KE,60.78,-1.3618,36.6566,PEC House
109,Impfondo,CG,68.95,1.6381,18.0667,Auberge La Place de Jules
111,Tuatapere,NZ,61.9,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
112,Byron Bay,AU,73.94,-28.65,153.6167,Backpackers Inn
116,Port Lincoln,AU,71.96,-34.7333,135.8667,Port Lincoln Hotel
125,Salinopolis,BR,73.71,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
126,Port Elizabeth,ZA,73.69,-33.918,25.5701,39 On Nile Guest House
130,Port Macquarie,AU,72.9,-31.4333,152.9167,Rydges Port Macquarie
140,Port Alfred,ZA,72.01,-33.5906,26.891,The Halyards Hotel
141,Saint-Joseph,RE,73.78,-21.3667,55.6167,"""Plantation Bed and Breakfast"
149,Mar Del Plata,AR,60.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
150,Guntur,IN,73.29,16.3,80.45,SPOT ON 38595 Varsha Grand Residence
