City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Samarinda,-0.5,117.15,88.59,63,96,1.41,ID,2022-03-12 01:40:41
Hamilton,39.1834,-84.5333,30.36,92,100,11.5,US,2022-03-12 01:42:17
Tasiilaq,65.6145,-37.6368,33.96,93,100,30.31,GL,2022-03-12 01:45:35
Jamestown,42.097,-79.2353,31.51,70,100,5.75,US,2022-03-12 01:44:09
Porto Walter,-8.2686,-72.7439,73.58,93,92,2.15,BR,2022-03-12 01:45:35
Saldanha,-33.0117,17.9442,68.0,81,0,3.78,ZA,2022-03-12 01:45:36
Cape Town,-33.9258,18.4232,73.11,88,0,2.3,ZA,2022-03-12 01:42:01
Carnarvon,-24.8667,113.6333,80.67,74,0,11.5,AU,2022-03-12 01:45:36
Castro,-24.7911,-50.0119,64.45,97,100,3.42,BR,2022-03-12 01:45:36
Kodiak,57.79,-152.4072,42.31,75,100,5.75,US,2022-03-12 01:45:36
Busselton,-33.65,115.3333,77.34,67,0,13.49,AU,2022-03-12 01:45:37
Faanui,-16.4833,-151.75,81.36,71,11,11.97,PF,2022-03-12 01:45:37
Broome,42.2506,-75.833,47.39,64,100,6.91,US,2022-03-12 01:45:37
Caravelas,-17.7125,-39.2481,76.42,86,13,4.38,BR,2022-03-12 01:45:37
Kieta,-6.2167,155.6333,85.84,57,8,5.59,PG,2022-03-12 01:45:38
Hermanus,-34.4187,19.2345,69.84,81,0,5.97,ZA,2022-03-12 01:45:38
Hilo,19.7297,-155.09,82.13,65,0,9.22,US,2022-03-12 01:45:38
Mbigou,-1.9005,11.906,67.23,98,100,1.23,GA,2022-03-12 01:45:39
Punta Arenas,-53.15,-70.9167,44.71,61,0,11.5,CL,2022-03-12 01:41:40
Saint George,37.1041,-113.5841,59.59,15,0,0.0,US,2022-03-12 01:45:31
Evensk,61.95,159.2333,20.68,76,100,12.06,RU,2022-03-12 01:45:39
Gat,31.61,34.7642,48.88,100,100,11.61,IL,2022-03-12 01:42:02
Vestmannaeyjar,63.4427,-20.2734,40.33,63,100,17.49,IS,2022-03-12 01:45:39
Mantua,45.1667,10.7833,42.04,78,100,3.0,IT,2022-03-12 01:45:32
Hobart,-42.8794,147.3294,72.05,48,20,11.5,AU,2022-03-12 01:42:34
Butaritari,3.0707,172.7902,81.84,77,16,18.9,KI,2022-03-12 01:45:40
Pangnirtung,66.1451,-65.7125,-25.22,97,97,4.74,CA,2022-03-12 01:45:40
Nikolskoye,59.7035,30.7861,31.87,97,100,3.98,RU,2022-03-12 01:45:40
Kula,38.5473,28.6498,21.7,76,41,2.73,TR,2022-03-12 01:42:42
Kaitangata,-46.2817,169.8464,63.79,58,62,12.37,NZ,2022-03-12 01:45:41
Ushuaia,-54.8,-68.3,44.26,61,0,12.66,AR,2022-03-12 01:42:58
Ejido Hermosillo,32.5121,-114.9238,70.23,7,0,8.19,MX,2022-03-12 01:45:41
Grindavik,63.8424,-22.4338,39.15,80,40,17.27,IS,2022-03-12 01:45:41
Dikson,73.5069,80.5464,-4.83,88,100,23.62,RU,2022-03-12 01:45:42
Khatanga,71.9667,102.5,-22.02,98,99,5.86,RU,2022-03-12 01:45:42
Hasaki,35.7333,140.8333,66.29,57,0,12.08,JP,2022-03-12 01:45:42
Ahtopol,42.1,27.95,28.09,65,92,15.23,BG,2022-03-12 01:45:42
Katsuura,35.1333,140.3,60.17,45,0,6.2,JP,2022-03-12 01:45:43
Payo,-3.7508,103.6372,81.75,77,54,1.92,ID,2022-03-12 01:45:43
Mehamn,71.0357,27.8492,30.72,78,100,9.66,NO,2022-03-12 01:45:43
Traralgon,-38.1833,146.5333,73.0,45,33,3.02,AU,2022-03-12 01:45:44
Urucara,-2.5364,-57.76,73.98,93,99,2.8,BR,2022-03-12 01:45:44
Santa Maria,-29.6842,-53.8069,65.5,88,75,4.61,BR,2022-03-12 01:45:15
Bluff,-46.6,168.3333,59.81,72,15,17.94,NZ,2022-03-12 01:45:44
Puerto Madryn,-42.7692,-65.0385,65.23,61,3,20.58,AR,2022-03-12 01:45:44
Ryotsu,38.0833,138.4333,51.57,42,17,4.81,JP,2022-03-12 01:45:45
Wabag,-5.4781,143.7021,65.14,83,86,3.67,PG,2022-03-12 01:45:45
Bengkulu,-3.8004,102.2655,81.91,71,94,3.71,ID,2022-03-12 01:45:45
Nova Mayachka,46.6,33.2271,22.59,83,100,13.44,UA,2022-03-12 01:45:45
Albany,42.6001,-73.9662,46.81,58,100,1.01,US,2022-03-12 01:41:59
Ribeira Grande,38.5167,-28.7,59.25,73,100,12.48,PT,2022-03-12 01:45:46
Yellowknife,62.456,-114.3525,0.55,82,100,10.0,CA,2022-03-12 01:45:46
Barrow,71.2906,-156.7887,-0.38,78,40,9.22,US,2022-03-12 01:45:46
Huarmey,-10.0681,-78.1522,73.42,79,100,7.07,PE,2022-03-12 01:45:47
Wuwei,37.9281,102.6414,51.87,26,2,5.41,CN,2022-03-12 01:45:47
Faya,18.3851,42.4509,57.72,84,26,2.71,SA,2022-03-12 01:45:47
Poum,-20.2333,164.0167,82.09,72,3,0.89,NC,2022-03-12 01:45:47
Lorengau,-2.0226,147.2712,84.79,69,30,5.3,PG,2022-03-12 01:45:48
Margate,51.3813,1.3862,48.31,81,100,10.0,GB,2022-03-12 01:45:48
Saint-Philippe,-21.3585,55.7679,74.79,82,41,10.09,RE,2022-03-12 01:45:48
Bangolo,7.0069,-7.475,75.18,84,87,2.3,CI,2022-03-12 01:45:48
Norman Wells,65.282,-126.8329,-7.56,64,75,16.11,CA,2022-03-12 01:45:49
Cap-Aux-Meules,47.3821,-61.8597,24.82,80,75,13.8,CA,2022-03-12 01:45:49
Paso Del Macho,18.9667,-96.7167,74.7,67,33,2.89,MX,2022-03-12 01:45:49
Wajima,37.4,136.9,52.48,76,20,4.61,JP,2022-03-12 01:45:50
Hithadhoo,-0.6,73.0833,81.95,65,8,4.97,MV,2022-03-12 01:45:50
